,ICQ_Chat.pcap
0,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
1,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
2,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
3,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
4,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
5,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
6,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
7,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
8,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
9,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
10,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
11,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
12,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
13,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
14,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
15,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
16,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
17,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
18,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
19,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
20,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
21,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
22,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
23,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
24,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
25,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
26,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
27,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
28,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
29,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
30,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
31,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
32,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
33,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
34,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
35,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
36,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
37,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
38,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
39,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
40,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
41,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
42,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
43,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
44,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
45,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
46,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
47,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
48,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
49,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
50,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
51,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
52,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
53,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
54,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
55,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
56,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
57,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
58,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
59,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
60,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
61,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
62,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
63,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
64,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
65,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
66,"['10.152.152.11', 35657, '216.58.211.13', 443]"
67,"['10.152.152.11', 35658, '216.58.211.13', 443]"
68,"['216.58.211.13', 443, '10.152.152.11', 35657]"
69,"['10.152.152.11', 35657, '216.58.211.13', 443]"
70,"['216.58.211.13', 443, '10.152.152.11', 35658]"
71,"['10.152.152.11', 35658, '216.58.211.13', 443]"
72,"['10.152.152.11', 35657, '216.58.211.13', 443]"
73,"['10.152.152.11', 35658, '216.58.211.13', 443]"
74,"['216.58.211.13', 443, '10.152.152.11', 35657]"
75,"['216.58.211.13', 443, '10.152.152.11', 35658]"
76,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
77,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
78,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
79,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
80,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
81,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
82,"['10.152.152.11', 51332, '195.95.178.116', 443]"
83,"['10.152.152.11', 37841, '216.58.211.42', 443]"
84,"['195.95.178.116', 443, '10.152.152.11', 51332]"
85,"['10.152.152.11', 51332, '195.95.178.116', 443]"
86,"['216.58.211.42', 443, '10.152.152.11', 37841]"
87,"['10.152.152.11', 37841, '216.58.211.42', 443]"
88,"['10.152.152.11', 51332, '195.95.178.116', 443]"
89,"['10.152.152.11', 37841, '216.58.211.42', 443]"
90,"['195.95.178.116', 443, '10.152.152.11', 51332]"
91,"['216.58.211.42', 443, '10.152.152.11', 37841]"
92,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
93,"['10.152.152.11', 46482, '5.9.28.6', 5281]"
94,"['10.152.152.11', 46483, '5.9.28.6', 5281]"
95,"['5.9.28.6', 5281, '10.152.152.11', 46482]"
96,"['10.152.152.11', 46482, '5.9.28.6', 5281]"
97,"['5.9.28.6', 5281, '10.152.152.11', 46483]"
98,"['10.152.152.11', 46483, '5.9.28.6', 5281]"
99,"['10.152.152.11', 46482, '5.9.28.6', 5281]"
100,"['10.152.152.11', 46483, '5.9.28.6', 5281]"
101,"['5.9.28.6', 5281, '10.152.152.11', 46482]"
102,"['5.9.28.6', 5281, '10.152.152.11', 46483]"
103,"['216.58.211.13', 443, '10.152.152.11', 35657]"
104,"['10.152.152.11', 35657, '216.58.211.13', 443]"
105,"['216.58.211.13', 443, '10.152.152.11', 35657]"
106,"['10.152.152.11', 35657, '216.58.211.13', 443]"
107,"['216.58.211.13', 443, '10.152.152.11', 35657]"
108,"['10.152.152.11', 35657, '216.58.211.13', 443]"
109,"['216.58.211.13', 443, '10.152.152.11', 35658]"
110,"['10.152.152.11', 35658, '216.58.211.13', 443]"
111,"['10.152.152.11', 35657, '216.58.211.13', 443]"
112,"['216.58.211.13', 443, '10.152.152.11', 35657]"
113,"['216.58.211.13', 443, '10.152.152.11', 35658]"
114,"['10.152.152.11', 35658, '216.58.211.13', 443]"
115,"['216.58.211.13', 443, '10.152.152.11', 35658]"
116,"['10.152.152.11', 35658, '216.58.211.13', 443]"
117,"['216.58.211.13', 443, '10.152.152.11', 35658]"
118,"['10.152.152.11', 35658, '216.58.211.13', 443]"
119,"['10.152.152.11', 35658, '216.58.211.13', 443]"
120,"['216.58.211.13', 443, '10.152.152.11', 35658]"
121,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
122,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
123,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
124,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
125,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
126,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
127,"['195.95.178.116', 443, '10.152.152.11', 51332]"
128,"['10.152.152.11', 51332, '195.95.178.116', 443]"
129,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
130,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
131,"['195.95.178.116', 443, '10.152.152.11', 51332]"
132,"['10.152.152.11', 51332, '195.95.178.116', 443]"
133,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
134,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
135,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
136,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
137,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
138,"['10.152.152.11', 41076, '195.95.178.109', 443]"
139,"['195.95.178.109', 443, '10.152.152.11', 41076]"
140,"['10.152.152.11', 41076, '195.95.178.109', 443]"
141,"['10.152.152.11', 41076, '195.95.178.109', 443]"
142,"['195.95.178.109', 443, '10.152.152.11', 41076]"
143,"['195.95.178.116', 443, '10.152.152.11', 51332]"
144,"['10.152.152.11', 51332, '195.95.178.116', 443]"
145,"['195.95.178.116', 443, '10.152.152.11', 51332]"
146,"['10.152.152.11', 51332, '195.95.178.116', 443]"
147,"['10.152.152.11', 51332, '195.95.178.116', 443]"
148,"['195.95.178.116', 443, '10.152.152.11', 51332]"
149,"['216.58.211.42', 443, '10.152.152.11', 37841]"
150,"['10.152.152.11', 37841, '216.58.211.42', 443]"
151,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
152,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
153,"['10.152.152.11', 60251, '64.233.167.188', 5228]"
154,"['64.233.167.188', 5228, '10.152.152.11', 60251]"
155,"['10.152.152.11', 60251, '64.233.167.188', 5228]"
156,"['10.152.152.11', 60251, '64.233.167.188', 5228]"
157,"['64.233.167.188', 5228, '10.152.152.11', 60251]"
158,"['216.58.211.42', 443, '10.152.152.11', 37841]"
159,"['10.152.152.11', 37841, '216.58.211.42', 443]"
160,"['216.58.211.42', 443, '10.152.152.11', 37841]"
161,"['10.152.152.11', 37841, '216.58.211.42', 443]"
162,"['216.58.211.42', 443, '10.152.152.11', 37841]"
163,"['10.152.152.11', 37841, '216.58.211.42', 443]"
164,"['10.152.152.11', 37841, '216.58.211.42', 443]"
165,"['216.58.211.42', 443, '10.152.152.11', 37841]"
166,"['10.152.152.11', 60251, '64.233.167.188', 5228]"
167,"['64.233.167.188', 5228, '10.152.152.11', 60251]"
168,"['10.152.152.11', 60251, '64.233.167.188', 5228]"
169,"['10.152.152.11', 35657, '216.58.211.13', 443]"
170,"['10.152.152.11', 35658, '216.58.211.13', 443]"
171,"['216.58.211.13', 443, '10.152.152.11', 35657]"
172,"['10.152.152.11', 35657, '216.58.211.13', 443]"
173,"['216.58.211.13', 443, '10.152.152.11', 35658]"
174,"['10.152.152.11', 35658, '216.58.211.13', 443]"
175,"['10.152.152.11', 46482, '5.9.28.6', 5281]"
176,"['10.152.152.11', 46483, '5.9.28.6', 5281]"
177,"['5.9.28.6', 5281, '10.152.152.11', 46482]"
178,"['10.152.152.11', 46482, '5.9.28.6', 5281]"
179,"['5.9.28.6', 5281, '10.152.152.11', 46483]"
180,"['10.152.152.11', 46483, '5.9.28.6', 5281]"
181,"['10.152.152.11', 51332, '195.95.178.116', 443]"
182,"['10.152.152.11', 37841, '216.58.211.42', 443]"
183,"['195.95.178.116', 443, '10.152.152.11', 51332]"
184,"['10.152.152.11', 51332, '195.95.178.116', 443]"
185,"['216.58.211.42', 443, '10.152.152.11', 37841]"
186,"['10.152.152.11', 37841, '216.58.211.42', 443]"
187,"['10.152.152.11', 41076, '195.95.178.109', 443]"
188,"['195.95.178.109', 443, '10.152.152.11', 41076]"
189,"['10.152.152.11', 41076, '195.95.178.109', 443]"
190,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
191,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
192,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
193,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
194,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
195,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
196,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
197,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
198,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
199,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
200,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
201,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
202,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
203,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
204,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
205,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
206,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
207,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
208,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
209,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
210,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
211,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
212,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
213,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
214,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
215,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
216,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
217,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
218,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
219,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
220,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
221,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
222,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
223,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
224,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
225,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
226,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
227,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
228,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
229,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
230,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
231,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
232,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
233,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
234,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
235,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
236,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
237,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
238,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
239,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
240,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
241,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
242,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
243,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
244,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
245,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
246,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
247,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
248,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
249,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
250,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
251,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
252,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
253,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
254,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
255,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
256,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
257,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
258,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
259,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
260,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
261,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
262,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
263,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
264,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
265,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
266,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
267,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
268,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
269,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
270,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
271,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
272,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
273,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
274,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
275,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
276,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
277,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
278,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
279,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
280,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
281,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
282,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
283,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
284,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
285,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
286,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
287,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
288,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
289,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
290,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
291,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
292,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
293,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
294,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
295,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
296,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
297,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
298,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
299,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
300,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
301,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
302,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
303,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
304,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
305,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
306,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
307,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
308,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
309,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
310,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
311,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
312,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
313,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
314,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
315,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
316,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
317,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
318,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
319,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
320,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
321,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
322,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
323,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
324,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
325,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
326,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
327,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
328,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
329,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
330,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
331,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
332,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
333,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
334,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
335,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
336,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
337,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
338,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
339,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
340,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
341,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
342,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
343,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
344,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
345,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
346,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
347,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
348,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
349,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
350,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
351,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
352,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
353,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
354,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
355,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
356,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
357,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
358,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
359,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
360,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
361,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
362,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
363,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
364,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
365,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
366,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
367,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
368,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
369,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
370,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
371,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
372,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
373,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
374,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
375,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
376,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
377,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
378,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
379,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
380,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
381,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
382,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
383,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
384,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
385,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
